movie_title,production_date,genres,runtime_minutes,director_name,director_professions,director_birthYear,director_deathYear,movie_averageRating,movie_numerOfVotes,approval_Index,Production budget $,Domestic gross $,Worldwide gross $,era
Duel in the Sun,1946-12-31,"Drama,Romance,Western",146.0,-,-,-,-,6.8,8946.0,4.420478716215078,6000000,20400000,20400000,Golden Era
Wilson,1944-08-01,"Biography,Drama,History",154.0,Henry King,"actor,director,producer",1886,1982,6.4,1607.0,3.344270443405104,5200000,2000000,2000000,Golden Era
The Robe,1953-09-16,"Drama,History,Romance",135.0,Henry Koster,"director,writer,producer",1905,1988,6.7,10760.0,4.444546488368506,5000000,36000000,36010887,Golden Era
"20,000 Leagues Under the Sea",1954-12-23,"Adventure,Drama,Family",127.0,Richard Fleischer,"director,producer,writer",1916,2006,7.2,34770.0,5.407410178529397,5000000,28200000,28200000,Golden Era
The Egyptian,1954-08-24,Drama,139.0,Michael Curtiz,"director,writer,actor",1886,1962,6.5,4161.0,3.853573723645134,5000000,15000000,15000000,Golden Era
Peter Pan,1953-02-05,"Adventure,Animation,Family",77.0,-,-,-,-,7.3,142977.0,6.243762700062684,4000000,87400000,87400000,Golden Era
The Greatest Show on Earth,1952-01-10,"Drama,Family,Romance",152.0,Cecil B. DeMille,"producer,director,editor",1881,1959,6.6,14975.0,4.536754361831026,4000000,36000000,36000000,Golden Era
Gone with the Wind,1939-12-15,"Drama,Romance,War",238.0,-,-,-,-,8.2,318573.0,7.513151771402253,3900000,198680470,390525192,Golden Era
Annie Get Your Gun,1950-05-17,"Comedy,Musical,Romance",107.0,-,-,-,-,6.9,4994.0,4.191469450739068,3768785,8000000,8000000,Golden Era
The Pirate,1948-05-20,"Adventure,Comedy,Musical",102.0,Vincente Minnelli,"director,miscellaneous,music_department",1903,1986,6.9,5220.0,4.2139389506488225,3700000,2956000,2956000,Golden Era
Red River,1948-08-26,"Drama,Western",133.0,-,-,-,-,7.8,32013.0,5.821603080275866,3000000,9012000,9012000,Golden Era
The Harvey Girls,1946-01-18,"Comedy,Musical,Western",102.0,George Sidney,"director,producer,writer",1916,2002,7.0,4478.0,4.197956900464658,2931000,4100000,4100000,Golden Era
