movie_title,production_date,genres,runtime_minutes,director_name,director_professions,director_birthYear,director_deathYear,movie_averageRating,movie_numerOfVotes,approval_Index,Production budget $,Domestic gross $,Worldwide gross $,era
Cleopatra,1963-06-12,"Biography,Drama,History",192.0,Joseph L. Mankiewicz,"writer,producer,director",1909,1993,7.0,34475.0,5.249154139151583,42000000,57000000,71000000,The Change
Tora! Tora! Tora!,1970-09-23,"Action,Drama,History",144.0,-,-,-,-,7.5,35181.0,5.64469628349181,25000000,29548291,29548291,The Change
King Kong,1976-12-17,"Adventure,Horror",134.0,John Guillermin,"director,writer,producer",1925,2015,5.9,33494.0,4.391039649086488,23000000,52614445,90614445,The Change
Darling Lili,1970-06-24,"Comedy,Drama,Musical",136.0,Blake Edwards,"writer,producer,director",1922,2010,6.1,2260.0,3.334369929776451,22000000,5000000,5000000,The Change
Paint Your Wagon,1969-10-15,"Comedy,Drama,Musical",164.0,Joshua Logan,"writer,director,miscellaneous",1908,1988,6.6,14040.0,4.505447163197116,20000000,31678778,31678778,The Change
The Greatest Story Ever Told,1965-02-15,"Biography,Drama,History",260.0,-,-,-,-,6.5,10764.0,4.308116019150807,20000000,15473333,15473333,The Change
Sweet Charity,1969-04-01,"Comedy,Drama,Music",149.0,Bob Fosse,"miscellaneous,soundtrack,actor",1927,1987,6.9,6114.0,4.294193075327082,20000000,8000000,8000000,The Change
The Fall of the Roman Empire,1964-01-01,"Drama,History,War",188.0,Anthony Mann,"director,writer,assistant_director",1906,1967,6.7,9463.0,4.381228579854889,19000000,4750000,4750000,The Change
Catch-22,1970-06-24,"Comedy,Drama,War",122.0,Mike Nichols,"director,producer,miscellaneous",1931,2014,7.1,25474.0,5.16796465665877,18000000,24911670,24911670,The Change
My Fair Lady,1964-10-22,"Drama,Family,Musical",170.0,George Cukor,"director,miscellaneous,assistant_director",1899,1983,7.8,97006.0,6.457830486934708,17000000,72000000,72072607,The Change
55 Days at Peking,1963-05-29,"Action,Adventure,Drama",154.0,-,-,-,-,6.7,6868.0,4.223228953686062,17000000,10000000,10000000,The Change
Ben-Hur,1959-11-18,"Adventure,Drama",212.0,William Wyler,"director,producer,actor",1902,1981,8.1,241602.0,7.2551021330360435,15000000,73000000,73259017,The Change
Lawrence of Arabia,1962-12-16,"Adventure,Biography,Drama",218.0,David Lean,"editor,director,writer",1908,1991,8.3,296955.0,7.563470596746948,15000000,37495385,69995047,The Change
Hawaii,1966-10-10,Drama,189.0,-,-,-,-,6.5,3282.0,3.740086649109235,15000000,34562222,34562222,The Change
The Ten Commandments,1956-10-05,"Adventure,Drama,Family",220.0,Cecil B. DeMille,"producer,director,editor",1881,1959,7.9,72100.0,6.369847500980921,13500000,85400591,85433929,The Change
Papillon,1973-12-16,"Biography,Crime,Drama",151.0,Franklin J. Schaffner,"director,producer,actor",1920,1989,8.0,132395.0,6.809860987266272,13500000,53267000,53292989,The Change
Jaws,1975-06-20,"Adventure,Thriller",124.0,Steven Spielberg,"producer,writer,director",1946,alive,8.1,612566.0,7.809560834901065,12000000,272257035,482947378,The Change
The Exorcist,1973-12-26,Horror,122.0,William Friedkin,"director,writer,producer",1935,alive,8.1,413118.0,7.574798904552899,12000000,230347346,428214478,The Change
Patton,1970-01-01,"Biography,Drama,War",172.0,Franklin J. Schaffner,"director,producer,actor",1920,1989,7.9,103517.0,6.580072616345155,12000000,62500000,62500000,The Change
Spartacus,1960-10-07,"Adventure,Biography,Drama",197.0,Stanley Kubrick,"director,writer,producer",1928,1999,7.9,136668.0,6.741552910299699,12000000,30000000,60000000,The Change
Casino Royale,1967-04-28,Comedy,131.0,-,-,-,-,5.0,30758.0,3.6697616025052007,12000000,22744718,41744718,The Change
The Alamo,1960-10-24,"Adventure,Drama,History",162.0,John Wayne,"actor,producer,soundtrack",1907,1979,6.8,16404.0,4.723826427650919,12000000,7900000,7900000,The Change
Doctor Zhivago,1965-12-22,"Drama,Romance,War",197.0,David Lean,"editor,director,writer",1908,1991,7.9,78214.0,6.4171575733039,11000000,111897830,112040388,The Change
Barry Lyndon,1975-01-01,"Adventure,Drama,War",185.0,Stanley Kubrick,"director,writer,producer",1928,1999,8.1,170687.0,7.04803030264157,11000000,20000000,20195843,The Change
The Molly Maguires,1970-01-01,"Drama,History",124.0,Martin Ritt,"director,producer,actor",1914,1990,6.8,4053.0,4.0243581711619845,11000000,2200000,2200000,The Change
2001: A Space Odyssey,1968-04-02,"Adventure,Sci-Fi",149.0,Stanley Kubrick,"director,writer,producer",1928,1999,8.3,674585.0,8.064538473108346,10500000,59936321,71801313,The Change
The Longest Day,1962-10-04,"Action,Drama,History",178.0,-,-,-,-,7.7,56760.0,6.069721969296195,10000000,39100000,50100000,The Change
Oliver!,1968-12-11,"Drama,Family,Musical",153.0,Carol Reed,"director,producer,assistant_director",1906,1976,7.4,39265.0,5.627472089325951,10000000,37402877,37402877,The Change
You Only Live Twice,1967-06-13,"Action,Adventure,Thriller",117.0,Lewis Gilbert,"director,writer,producer",1920,2018,6.8,111543.0,5.6828644105772295,9500000,43100000,111600000,The Change
It's a Mad Mad Mad Mad World,1963-11-07,"Action,Adventure,Comedy",210.0,Stanley Kramer,"producer,director,miscellaneous",1913,2001,7.5,42942.0,5.754697052520832,9400000,46300000,60000000,The Change
Fiddler on the Roof,1971-01-01,"Drama,Family,Musical",181.0,Norman Jewison,"director,producer,actor",1926,alive,8.0,44574.0,6.169087136292081,9000000,80500000,80501127,The Change
Thunderball,1965-12-29,"Action,Adventure,Thriller",130.0,Terence Young,"director,writer,miscellaneous",1915,1994,6.9,120595.0,5.807986764105598,9000000,63600000,141200000,The Change
The Sound of Music,1965-01-01,"Biography,Drama,Family",172.0,Robert Wise,"director,producer,editor",1914,2005,8.1,239472.0,7.249824776747489,8200000,163214286,286214195,The Change
On Her Majesty's Secret Service,1969-11-28,"Action,Adventure,Thriller",142.0,Peter R. Hunt,"editor,director,editorial_department",1925,2002,6.8,93886.0,5.596646431310156,8000000,22800000,82000000,The Change
