Genre,Count_US,Count_India,Percentage_US,Percentage_India
drama,2210,7243,50.456621,46.70191502
comedy,1656,2029,37.80821918,13.08272616
action,1211,3543,27.64840183,22.84479979
romance,724,2449,16.52968037,15.79083113
crime,780,1322,17.80821918,8.524082791
thriller,668,1713,15.25114155,11.04519956
adventure,968,541,22.10045662,3.488297118
horror,456,524,10.4109589,3.378683345
mystery,409,513,9.337899543,3.307756786
family,265,943,6.050228311,6.080340447
fantasy,350,458,7.99086758,2.953123993
biography,338,208,7.716894977,1.341156748
sci-fi,379,58,8.652968037,0.373976401
animation,241,125,5.502283105,0.805983622
musical,56,589,1.278538813,3.797794829
history,149,207,3.401826484,1.334708879
documentary,67,383,1.529680365,2.469533819
music,145,90,3.310502283,0.580308208
sport,114,70,2.602739726,0.451350829
war,86,47,1.96347032,0.303049842
western,44,5,1.00456621,0.032239345
film-noir,7,0,0.159817352,0
news,1,9,0.02283105,0.058030821
reality-tv,2,0,0.0456621,0
short,0,3,0,0.019343607
,0,1,0,0.006447869
