genre,movie_count,Average_Domestic_Gross,Average_Worldwide_Gross
Drama,2210,37243228.83,73442723.66
Comedy,1656,52093319.59,103529067.6
Action,1211,78082988.44,190479713.2
Adventure,968,99595255.12,253685123.3
Crime,780,39245771.6,77010278.25
Romance,724,36341656.5,68614444.63
Thriller,668,46921925.92,107347939.1
Horror,456,35942449.53,70464327.89
Mystery,409,42115426.12,85673635.22
Sci-Fi,379,90174643.1,224291581.3
Fantasy,350,71497719.48,179518682
Biography,338,34423833.74,62946550.76
Family,265,69594618.73,146681909.8
Animation,241,119779505.7,304682054.9
History,149,32296000.48,60368835.99
Music,145,29851220.93,55243682.12
Sport,114,37803035.63,50821836.11
War,86,36190202.36,61963433.63
Documentary,67,14840022.18,28057340.31
Musical,56,39482217.71,82771914.38
Western,44,30760973.77,56302145.89
Film-Noir,7,8566391.714,8573840.571
\N,2,27452204,58152074
News,1,24146161,53365925
