,avgRating,Votes,approval_Index,budget,DomesticGross,WorldwideGross,runtime
0,7.8,277543.0,7.061100943995044,460000000,667830256,2265935552,192.0
1,8.4,1143642.0,8.489533213240412,400000000,858373000,2794731755,181.0
2,6.6,533763.0,6.272064273410888,379000000,241071802,1045713802,137.0
3,7.3,870573.0,7.21401334314958,365000000,459005868,1395316979,141.0
4,8.4,1091968.0,8.460957733894004,300000000,678815482,2048359754,149.0
5,6.1,456977.0,5.7172124919319725,300000000,229024295,655945209,120.0
6,6.8,445461.0,6.375644351199071,300000000,200074175,879077344,148.0
7,6.9,352604.0,6.352667900355968,275000000,213767512,393151347,135.0
8,6.6,275965.0,5.951727572261911,263700000,73058679,282778100,132.0
9,6.4,704314.0,6.208569086473743,263000000,330360194,872395091,151.0
10,6.8,248695.0,6.0840220443103545,260000000,543638043,1647733638,118.0
11,7.7,459912.0,7.255014250910598,260000000,200821936,583777242,100.0
12,6.3,597302.0,6.033111095767313,258000000,336530303,894860230,139.0
13,7.8,795308.0,7.665261234452187,250000000,408084349,1151899586,147.0
14,6.3,340924.0,5.773184359213031,250000000,343256830,760928081,118.0
15,7.6,552559.0,7.261703060250369,250000000,302089278,929411069,153.0
16,7.8,670151.0,7.566996841361596,250000000,258241522,959358436,161.0
17,7.4,539316.0,7.05392872670275,250000000,255119788,940323039,144.0
18,6.6,235554.0,5.874841340002054,250000000,225764765,1236703796,136.0
19,7.3,407964.0,6.806907572810991,250000000,160891007,759959662,163.0
20,7.9,1316701.0,8.05826073536452,237000000,785221649,2923706026,162.0
21,6.1,285379.0,5.50590693615459,232000000,200120000,391081192,154.0
22,8.4,1715219.0,8.740035233306626,230000000,448139099,1082228107,164.0
23,6.5,317158.0,5.92608784559765,230000000,172558876,794861794,129.0
24,6.6,453199.0,6.192610824190399,230000000,169368427,591692078,106.0
25,8.0,1398299.0,8.197323632535053,225000000,623357910,1515100211,143.0
26,7.1,776933.0,6.953311491757371,225000000,291045518,667999518,143.0
27,6.5,214204.0,5.738393132395458,225000000,141621490,417341288,150.0
28,6.4,237051.0,5.695804116260621,225000000,89302115,260002115,150.0
29,6.9,662352.0,6.672728072135562,220000000,262030663,757890267,136.0
30,5.8,250264.0,5.172610109412092,220000000,65233400,313477717,131.0
31,5.2,154974.0,4.440515098474721,217000000,130168683,602893340,154.0
32,6.9,648398.0,6.661918582447434,215000000,652306625,1669963641,124.0
33,6.8,367756.0,6.279739787287992,215000000,179020854,654213485,106.0
34,5.9,410928.0,5.479333428445186,210000000,402111870,836519699,149.0
35,5.6,317585.0,5.087853719671651,210000000,245439076,1104054072,165.0
36,6.6,521527.0,6.260802886347444,210000000,234362462,459260946,104.0
37,6.6,272567.0,5.9457112410343935,210000000,105487148,322459006,140.0
38,7.2,428249.0,6.7375625153066885,207000000,218080025,550517357,187.0
39,6.1,190939.0,5.32554706822808,205000000,70107728,367262558,113.0
40,7.3,514633.0,6.93166210806086,205000000,58504105,360240189,150.0
41,8.2,766560.0,8.042900040645625,200000000,814115070,1910048245,148.0
42,7.3,781855.0,7.156284784522189,200000000,700059566,1336494320,134.0
43,7.9,1186257.0,7.997621721075507,200000000,674171000,2222759773,194.0
44,7.6,301929.0,6.923757977013962,200000000,608581744,1242805359,118.0
45,7.8,645972.0,7.545908318214015,200000000,533539991,1055083596,133.0
46,7.3,280916.0,6.606503746660027,200000000,486295561,1025006125,97.0
47,7.7,255197.0,6.921329468283103,200000000,434038008,1073064540,100.0
48,8.3,842260.0,8.200102493073304,200000000,415004880,1068879522,103.0
49,6.9,423056.0,6.445144198314582,200000000,411331607,952224986,126.0
50,7.1,856737.0,7.004388484848575,200000000,408992272,1215392272,130.0
51,7.4,660254.0,7.164084608470866,200000000,373524485,794697557,127.0
52,7.8,666559.0,7.563912548419399,200000000,369345583,767531825,176.0
53,6.4,420168.0,5.9653264487041415,200000000,334191110,1025491110,108.0
54,7.1,13.0,1.2080575532328128,200000000,334191110,1025491110,99.0
55,7.8,702518.0,7.59406586392806,200000000,304360277,1110526981,143.0
56,7.8,834654.0,7.692972919071989,200000000,303003568,1014938545,169.0
57,7.2,364912.0,6.652778271801097,200000000,268488329,743455810,104.0
58,6.3,209625.0,5.547754825679142,200000000,234770996,490359051,130.0
59,7.9,717548.0,7.705420031052482,200000000,233921534,747862775,132.0
60,6.6,503930.0,6.2441354582182775,200000000,202853933,708996336,142.0
61,6.2,195182.0,5.425038061168907,200000000,191450875,560155383,106.0
62,6.7,384380.0,6.207246443686793,200000000,183651655,379751131,134.0
63,6.5,216379.0,5.743224613367826,200000000,173956935,760732926,137.0
64,5.2,135716.0,4.3897480570339855,200000000,173005945,720752238,143.0
65,6.8,341289.0,6.24237155938012,200000000,172062763,399866199,125.0
66,6.4,217701.0,5.655707338098316,200000000,168152111,391261706,125.0
67,5.8,381780.0,5.352832557702589,200000000,166112167,757677748,158.0
68,6.3,346556.0,5.780779112739637,200000000,164870264,401731759,156.0
69,6.5,287829.0,5.879682716833985,200000000,159555901,648455339,134.0
70,6.5,365649.0,5.994128594612116,200000000,125322469,365491792,115.0
71,6.1,108089.0,5.070175692126519,200000000,118307188,218768299,105.0
72,6.6,194649.0,5.782217734597315,200000000,116987516,210469803,127.0
73,5.5,287768.0,4.954749009374178,200000000,116601172,219535492,114.0
74,6.2,145189.0,5.290060431424351,200000000,95850844,404560145,142.0
75,7.4,152821.0,6.367351351339342,200000000,61555145,133357601,102.0
76,5.4,271841.0,4.839644285704568,200000000,46801036,166360232,151.0
77,6.2,413304.0,5.767276735446691,195000000,352390543,1123794079,154.0
78,5.4,193203.0,4.703974028928738,195000000,80101125,409953905,111.0
79,6.3,141141.0,5.364403238514647,195000000,65187603,197687603,114.0
80,7.1,393939.0,6.598530746143006,190000000,353007020,1514553486,137.0
81,7.7,486220.0,7.286527968056871,190000000,228778661,467381584,132.0
82,7.0,674856.0,6.780976951842739,190000000,202706711,531861650,116.0
83,7.2,552799.0,6.872799839457871,190000000,144840419,353640419,143.0
84,6.9,507168.0,6.5372036031647145,190000000,101802906,411002906,131.0
85,5.7,253860.0,5.087137352561872,190000000,40463197,159197755,148.0
86,6.7,118223.0,5.626025605206398,187500000,123087120,333771037,93.0
87,7.9,1066239.0,7.935623135389752,186000000,318604126,585171547,126.0
88,9.0,2669915.0,9.666756523123013,185000000,534987076,1006234167,152.0
89,6.2,459414.0,5.815524625347974,185000000,317101119,786635413,122.0
90,7.1,417029.0,6.628285530131559,185000000,237282182,554606532,93.0
91,6.6,323849.0,6.029424483209237,185000000,168052812,561072059,118.0
92,7.0,248837.0,6.267135174774413,185000000,158848340,335673708,122.0
93,6.6,107946.0,5.495926648771709,185000000,113929605,489181357,119.0
94,8.0,583843.0,7.683251681030377,185000000,92054159,258829058,164.0
95,6.2,180934.0,5.390460647871416,185000000,62253077,250367666,128.0
96,7.2,358252.0,6.643020670984955,185000000,55817425,167097737,132.0
97,6.9,270240.0,6.217610316485014,182000000,355559216,1046587513,128.0
98,7.9,759901.0,7.738753354468393,180000000,315058289,850482778,130.0
99,6.9,380737.0,6.391638150943009,180000000,241407328,758536735,97.0
100,7.2,481094.0,6.799202017616572,180000000,234037575,811724385,132.0
101,6.2,172160.0,5.367785546649506,180000000,140125968,256585882,91.0
102,6.2,179329.0,5.386396113697128,180000000,126643061,348902025,110.0
103,7.5,326063.0,6.87335504106896,180000000,73864507,180047784,126.0
104,6.4,184549.0,5.577914303629846,180000000,40479370,215098356,136.0
105,5.3,190035.0,4.607975041002418,179000000,47482519,181982519,127.0
106,6.9,439904.0,6.4649696371246375,178000000,155442489,542537546,144.0
107,5.6,174428.0,4.8409572269217325,178000000,145443742,527267828,113.0
108,7.9,685811.0,7.679125884760698,178000000,100206256,367028980,113.0
109,6.8,566455.0,6.495862970126503,175000000,426829839,1129576094,123.0
110,7.4,280319.0,6.697651369676148,175000000,364001123,953535821,106.0
111,8.2,721195.0,8.006095716796121,175000000,356461711,850566343,95.0
112,7.4,664568.0,7.167630428633221,175000000,334201140,878271291,133.0
113,5.9,691152.0,5.7050365429206,175000000,325100054,745744980,123.0
114,8.3,1051560.0,8.335636120735376,175000000,293004164,731463377,96.0
115,8.4,516618.0,7.99840299539874,175000000,210460015,797660271,105.0
116,7.4,37.0,1.834156036067751,175000000,210460015,797660271,98.0
117,6.4,165805.0,5.527481759048554,175000000,198351526,381687380,94.0
118,6.7,104107.0,5.563344908696729,175000000,152901115,383541369,102.0
119,5.7,210346.0,5.008282057550469,175000000,150201498,302469017,118.0
120,4.9,162697.0,4.194258810461216,175000000,113805681,221229335,106.0
121,5.2,163587.0,4.461208499972436,175000000,102491776,405760225,112.0
122,5.4,149654.0,4.602496044740389,175000000,100289690,174131329,96.0
123,6.2,199278.0,5.434511880928196,175000000,88246220,264246220,135.0
124,5.6,66038.0,4.440769205140128,175000000,77047065,251509052,101.0
125,6.7,220293.0,5.932832650667543,175000000,39175066,139630336,126.0
126,6.2,162556.0,5.341600856770748,175000000,38362475,151716815,128.0
127,8.3,514562.0,7.899179357152834,170000000,718732821,1484765287,130.0
128,6.1,321196.0,5.558971046313156,170000000,417719760,1308323302,128.0
129,8.0,1187949.0,8.101365102817615,170000000,333714112,770882395,121.0
130,6.9,824074.0,6.783634882943762,170000000,312433331,621156389,124.0
131,7.8,852631.0,7.705202192365586,170000000,259746958,714401889,136.0
132,7.6,446158.0,7.142103671503376,170000000,208545589,710644566,130.0
133,6.6,219432.0,5.840413678712384,170000000,188042855,312183437,100.0
134,6.1,292619.0,5.517151060037797,170000000,155136755,401021746,127.0
135,6.3,403631.0,5.851446304231187,170000000,150358296,433058296,109.0
136,6.0,270620.0,5.390042908564552,170000000,120150546,300150546,131.0
137,6.3,77707.0,5.08776613323652,170000000,114766307,353166307,112.0
138,6.0,186254.0,5.225115076828253,170000000,110500138,383299914,132.0
139,6.4,184529.0,5.577863270447319,170000000,93436322,206627518,130.0
140,7.3,273115.0,6.591377589208935,170000000,85838210,401900040,122.0
141,6.2,112013.0,5.171721309193891,170000000,77042381,276928112,113.0
142,5.6,168517.0,4.826752647994571,165000000,376851080,1003775632,147.0
143,6.3,209632.0,5.547770303831174,165000000,238736787,756244673,95.0
144,7.5,750205.0,7.333156664315835,165000000,232641920,676343174,115.0
145,7.8,467348.0,7.360151829568933,165000000,222527828,648415024,102.0
146,8.1,747074.0,7.927863055514934,165000000,217581232,494870992,98.0
147,7.7,428462.0,7.214885290722206,165000000,189412677,496511521,101.0
148,8.6,1852238.0,8.9998990584075,165000000,188017894,648785349,169.0
149,8.0,645897.0,7.7427050315779695,165000000,108327830,392073640,155.0
150,5.2,181742.0,4.50147352619371,165000000,103144286,384169424,120.0
151,7.1,313837.0,6.479781380853268,160000000,504014165,1268697483,129.0
152,6.8,480429.0,6.413452704726316,160000000,335061807,1143758700,143.0
153,6.1,312571.0,5.546754541465955,160000000,322719944,807330936,93.0
154,8.8,2368570.0,9.371470113829352,160000000,292576195,728537960,148.0
155,6.5,332978.0,5.949366732004011,160000000,281723902,647396133,137.0
156,6.4,418010.0,5.9629017545942045,160000000,200676069,529076069,123.0
157,7.7,697895.0,7.491275506755403,160000000,146408305,355408305,131.0
158,7.8,657446.0,7.556012421888529,160000000,127509326,329631958,166.0
159,6.1,164251.0,5.257975302687107,160000000,63150991,217986320,109.0
160,5.7,106477.0,4.722759079482731,160000000,60674817,181674817,98.0
161,6.7,267059.0,6.027731618710921,160000000,47365290,438899824,123.0
162,7.1,171800.0,6.165023185001641,156000000,61433527,122359309,107.0
